brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
41240.0,for_sale,390650.0,3.0,3.0,,543233.0,Moseley,Virginia,23120.0,1829.0,
75928.0,sold,1440000.0,4.0,4.0,0.27,893382.0,Saratoga Springs,New York,12866.0,6610.0,2021-12-20
22797.0,sold,565000.0,2.0,3.0,,202483.0,Everett,Massachusetts,2149.0,1699.0,2021-12-28
25508.0,sold,570000.0,3.0,3.0,0.38,889295.0,Highland,California,92346.0,2118.0,2022-02-24
81984.0,for_sale,256995.0,3.0,2.0,0.14,125744.0,Fort Worth,Texas,76104.0,1554.0,
78347.0,for_sale,475000.0,6.0,4.0,0.22,455147.0,Orlando,Florida,32828.0,3514.0,2009-07-10
79221.0,for_sale,689000.0,5.0,4.0,0.35,1036903.0,Rochester,Minnesota,55906.0,4283.0,2017-07-24
109914.0,for_sale,183300.0,3.0,2.0,0.55,773610.0,Lenoir,North Carolina,28645.0,1263.0,2015-01-30
84781.0,for_sale,32500.0,,,1.01,1978284.0,West Jefferson,North Carolina,28694.0,,
61227.0,for_sale,501950.0,4.0,3.0,,1868546.0,Chesterfield,Virginia,23838.0,3026.0,
79151.0,sold,199900.0,1.0,1.0,,658782.0,Vancouver,Washington,98665.0,874.0,2022-03-10
81431.0,for_sale,210000.0,3.0,2.0,0.32,1116552.0,Kansas City,Missouri,64117.0,1416.0,2001-04-19
51516.0,for_sale,109000.0,,,1.61,597528.0,Marksville,Louisiana,71351.0,,
84534.0,for_sale,649000.0,5.0,4.0,1.14,1110036.0,Crystal Lake,Illinois,60012.0,4209.0,2017-05-09
15751.0,sold,69900.0,2.0,1.0,0.09,422791.0,Euclid,Ohio,44132.0,1287.0,2022-03-30
52577.0,for_sale,480000.0,3.0,3.0,1.02,1339228.0,Burlington,North Carolina,27217.0,,
2877.0,sold,360000.0,4.0,3.0,7.0,722163.0,Kosciusko,Mississippi,39090.0,3264.0,2021-12-13
22614.0,for_sale,355000.0,2.0,2.0,,1732525.0,Teaneck,New Jersey,7666.0,,2004-08-18
32844.0,sold,450000.0,4.0,4.0,9.74,721694.0,Cadillac,Michigan,49601.0,2555.0,2022-03-31
69048.0,sold,650000.0,5.0,4.0,0.38,163769.0,Desoto,Texas,75115.0,4063.0,2022-04-07
69400.0,for_sale,330000.0,3.0,2.0,0.18,1276645.0,Metairie,Louisiana,70006.0,1902.0,
100423.0,sold,450000.0,5.0,3.0,0.18,383587.0,Tucson,Arizona,85715.0,2708.0,2022-02-23
57487.0,for_sale,599888.0,3.0,2.0,0.07,1427167.0,Littleton,Colorado,80120.0,1726.0,1999-08-19
72297.0,for_sale,37000.0,,,1.09,1894851.0,Taylor,Michigan,48180.0,,
72867.0,for_sale,2500000.0,4.0,5.0,0.53,196958.0,Bluffton,South Carolina,29910.0,3254.0,2014-02-05
52121.0,sold,239068.0,4.0,2.0,0.19,1625711.0,El Paso,Texas,79912.0,2025.0,2022-01-28
109161.0,for_sale,598500.0,4.0,2.0,,1126785.0,Jacksonville,Florida,32250.0,1544.0,2021-11-30
105412.0,sold,295900.0,3.0,2.0,,236541.0,Palatka,Florida,32177.0,1630.0,2021-10-29
50693.0,for_sale,64900.0,,,0.35,1126621.0,Jonesboro,Arkansas,72404.0,,
23592.0,sold,1900000.0,5.0,2.0,0.25,602027.0,San Rafael,California,94903.0,2130.0,2021-12-10
41784.0,sold,345000.0,2.0,2.0,0.24,591812.0,Sun City West,Arizona,85375.0,1487.0,2022-03-10
20086.0,for_sale,525000.0,4.0,1.0,0.22,1594840.0,Uniondale,New York,11553.0,,2008-05-20
82978.0,for_sale,222900.0,4.0,2.0,0.28,1363539.0,San Antonio,Texas,78218.0,1836.0,2014-12-22
105595.0,for_sale,365000.0,3.0,3.0,1.03,1911515.0,Huntingdon,Pennsylvania,16652.0,2200.0,
91714.0,for_sale,120000.0,2.0,2.0,0.18,655331.0,Branson,Missouri,65616.0,1205.0,
53094.0,for_sale,105000.0,2.0,2.0,0.03,1247269.0,Union City,Georgia,30291.0,1503.0,
105067.0,for_sale,119900.0,2.0,2.0,,1451676.0,Vernon,Connecticut,6066.0,1100.0,2017-08-14
15761.0,for_sale,335000.0,3.0,2.0,,1076613.0,Paris,Texas,75460.0,1849.0,2017-04-26
18810.0,for_sale,179900.0,2.0,1.0,,1183818.0,Coral Springs,Florida,33065.0,850.0,2017-12-12
22346.0,for_sale,190000.0,5.0,1.0,5.0,442335.0,Mason,Michigan,48854.0,979.0,
42562.0,for_sale,465000.0,2.0,1.0,0.11,1094160.0,Portland,Oregon,97213.0,1118.0,2016-07-25
24196.0,for_sale,575000.0,,1.0,,485107.0,New York City,New York,10023.0,,2013-04-04
4952.0,for_sale,78500.0,2.0,2.0,,429613.0,Clearwater,Florida,33760.0,960.0,
4050.0,for_sale,335000.0,3.0,3.0,0.04,1126174.0,Duluth,Georgia,30096.0,1696.0,2013-07-05
48546.0,for_sale,99900.0,3.0,1.0,0.5,1148892.0,Mayodan,North Carolina,27027.0,,
109978.0,sold,429000.0,2.0,1.0,0.13,1320985.0,Sacramento,California,95820.0,937.0,2021-12-15
84537.0,for_sale,289900.0,4.0,3.0,0.32,1304873.0,Elyria,Ohio,44035.0,2210.0,2017-07-25
29034.0,for_sale,2299000.0,3.0,3.0,,923306.0,New York City,New York,10027.0,1542.0,
99392.0,for_sale,330000.0,4.0,3.0,0.05,1705647.0,Wilmington,Delaware,19806.0,2175.0,2021-09-01
54242.0,sold,485000.0,3.0,2.0,0.16,957962.0,Hollywood,Florida,33024.0,1332.0,2022-02-18
79862.0,sold,485000.0,1.0,1.0,,538532.0,Berkeley,California,94703.0,721.0,2021-11-16
16902.0,for_sale,65000.0,,,0.3,1869069.0,Lake Park,Georgia,31636.0,,2004-06-28
23592.0,for_sale,575000.0,,1.0,,469967.0,New York City,New York,10065.0,650.0,2017-05-30
102682.0,for_sale,56000.0,,,5.07,1865663.0,Athens,Texas,75751.0,,
57424.0,sold,1500000.0,3.0,2.0,0.21,1665482.0,Fremont,California,94539.0,1302.0,2021-12-06
67904.0,for_sale,330000.0,2.0,1.0,0.14,28008.0,Charlottesville,Virginia,22902.0,864.0,2022-04-20
22415.0,for_sale,130000.0,2.0,1.0,0.19,1453039.0,Socorro,New Mexico,87801.0,1055.0,
64604.0,for_sale,754000.0,,,29.0,266933.0,Willis,Texas,77378.0,,
2184.0,for_sale,985000.0,4.0,4.0,1.41,103141.0,Dripping Springs,Texas,78620.0,2687.0,2014-05-23
108572.0,for_sale,299900.0,,,1.81,1898852.0,Gallipolis,Ohio,45631.0,,2006-06-01
927.0,sold,189900.0,3.0,,,1992592.0,Ettrick,Wisconsin,54627.0,,2021-11-19
14992.0,for_sale,975000.0,5.0,4.0,1.49,428661.0,Riverside,California,92506.0,2763.0,2004-03-15
64326.0,for_sale,85995.0,2.0,1.0,,1229606.0,Holden,Maine,4429.0,924.0,
22356.0,for_sale,285000.0,,1.0,0.02,1673058.0,Port Aransas,Texas,78373.0,486.0,2006-03-07
1442.0,for_sale,4250000.0,6.0,8.0,5.1,1779332.0,Meridian,Idaho,83646.0,9305.0,2022-05-12
53489.0,for_sale,69500.0,4.0,2.0,,30943.0,Troup,Texas,75789.0,1912.0,
20405.0,sold,336900.0,4.0,3.0,0.5,1524666.0,Collinsville,Oklahoma,74021.0,,2021-12-02
106289.0,sold,335000.0,3.0,2.0,10.36,1928350.0,Hancock,Wisconsin,54943.0,1268.0,2022-04-15
15344.0,for_sale,235000.0,2.0,1.0,3.42,511903.0,Wellington,Kentucky,40387.0,1440.0,
22530.0,for_sale,25000.0,,,0.5,127739.0,Lehigh Acres,Florida,33972.0,,2005-12-13
55796.0,for_sale,1575000.0,5.0,3.0,0.17,1128404.0,Honolulu,Hawaii,96816.0,2056.0,
81071.0,for_sale,239900.0,5.0,3.0,0.42,947558.0,Elysian,Minnesota,56028.0,2854.0,2012-09-04
57617.0,for_sale,306950.0,3.0,3.0,,833931.0,Myrtle Beach,South Carolina,29577.0,2043.0,
22671.0,for_sale,150000.0,2.0,2.0,0.04,461401.0,Saint Charles,Missouri,63303.0,960.0,2006-05-16
44647.0,for_sale,79000.0,,,3.0,288654.0,Woodstock,Illinois,60098.0,,2017-05-22
70287.0,sold,730000.0,4.0,3.0,0.65,1491664.0,Orlando,Florida,32819.0,2350.0,2022-03-22
13931.0,for_sale,1800000.0,5.0,5.0,0.27,74323.0,Englewood,Colorado,80111.0,6490.0,2001-07-18
30426.0,sold,165000.0,3.0,2.0,0.14,1255538.0,El Paso,Texas,79924.0,1449.0,2021-11-12
106576.0,for_sale,495000.0,2.0,1.0,0.31,1421459.0,Acton,California,93510.0,1000.0,2020-01-16
71241.0,for_sale,184000.0,3.0,2.0,0.24,629167.0,O'Fallon,Missouri,63366.0,910.0,2021-08-12
18440.0,for_sale,55000.0,,,16.87,1910546.0,Bakersville,North Carolina,28705.0,,
23912.0,for_sale,399900.0,3.0,2.0,2.66,1432624.0,Bushnell,Florida,33513.0,1940.0,2021-11-09
81858.0,for_sale,29900.0,,,0.5,488489.0,Jasper,Georgia,30143.0,,
4491.0,for_sale,5000.0,,,,1846498.0,Gaylord,Michigan,49735.0,,
58958.0,for_sale,795000.0,4.0,3.0,0.36,1502325.0,Annapolis,Maryland,21409.0,3608.0,2019-08-26
41659.0,sold,169900.0,3.0,1.0,0.75,719071.0,Holland,New York,14080.0,1288.0,2021-11-29
103320.0,for_sale,345000.0,2.0,1.0,0.14,1432640.0,Hollywood,Florida,33021.0,830.0,2015-04-01
78692.0,for_sale,134910.0,,,0.93,594641.0,Vincent,Alabama,35178.0,,
11333.0,for_sale,949000.0,2.0,1.0,0.11,359990.0,Seattle,Washington,98122.0,1080.0,2004-04-19
59857.0,for_sale,69999.0,,,2.27,1878040.0,Sandy Valley,Nevada,89019.0,,
69287.0,sold,449900.0,,,0.89,1384399.0,Cocoa,Florida,32927.0,,2022-03-01
53600.0,sold,519950.0,3.0,3.0,0.18,455558.0,Puyallup,Washington,98372.0,1512.0,2021-11-30
25903.0,for_sale,327990.0,3.0,2.0,,1213078.0,Smyrna,Delaware,19977.0,1385.0,
58672.0,for_sale,109900.0,,,3.26,1925904.0,Navasota,Texas,77868.0,,
79993.0,for_sale,16000.0,,,1.35,270253.0,Murphy,North Carolina,28906.0,,
68598.0,for_sale,365000.0,,,5.77,1932545.0,Berlin,Maryland,21811.0,,
108243.0,sold,569900.0,4.0,3.0,0.36,1701855.0,Pasco,Washington,99301.0,2151.0,2021-11-18
94865.0,for_sale,700440.0,,,58.37,1976157.0,Meeker,Colorado,81641.0,,
109914.0,for_sale,290000.0,4.0,1.0,0.16,1367022.0,Kalispell,Montana,59901.0,1342.0,2016-08-15
85636.0,for_sale,272450.0,3.0,2.0,0.25,685160.0,Alexandria,Louisiana,71303.0,1681.0,
53769.0,sold,449900.0,3.0,2.0,0.15,1124228.0,Spokane,Washington,99202.0,1777.0,2022-03-14
85097.0,for_sale,47000.0,,,1.34,818500.0,Terre Haute,Indiana,47803.0,,
83329.0,for_sale,159000.0,2.0,1.0,0.17,510377.0,Gainesville,Florida,32609.0,915.0,
16335.0,sold,649900.0,4.0,4.0,0.26,734375.0,Suwanee,Georgia,30024.0,4162.0,2022-03-04
54185.0,for_sale,159900.0,3.0,3.0,0.24,698512.0,Poplar Grove,Illinois,61065.0,1348.0,
,sold,1595000.0,3.0,3.0,0.24,1524390.0,Naples,Florida,34113.0,2815.0,2022-03-31
31383.0,for_sale,825000.0,3.0,3.0,,1025300.0,Grand Rapids,Michigan,49504.0,1892.0,
79018.0,for_sale,80000.0,,,0.18,1945485.0,Venice,Florida,34293.0,,
46815.0,for_sale,260000.0,2.0,2.0,0.28,706659.0,Port Saint Lucie,Florida,34952.0,912.0,2016-07-29
78257.0,sold,329900.0,3.0,3.0,0.16,528725.0,Fort Collins,Colorado,80526.0,1542.0,2021-11-12
88391.0,for_sale,142000.0,,,12.2,917973.0,Bush,Louisiana,70431.0,,
53072.0,for_sale,175000.0,3.0,2.0,,975547.0,Lafayette,Louisiana,70506.0,1693.0,
22259.0,sold,89900.0,2.0,1.0,0.23,27937.0,Portland,Michigan,48875.0,784.0,2021-11-24
105415.0,for_sale,610000.0,3.0,2.0,0.14,715084.0,Kissimmee,Florida,34747.0,2360.0,2018-07-31
22308.0,for_sale,374500.0,4.0,2.0,0.85,258728.0,Bushkill,Pennsylvania,18064.0,2276.0,2017-07-18
22611.0,sold,200000.0,2.0,3.0,0.03,1345301.0,Pittsburgh,Pennsylvania,15236.0,,2022-04-06
103806.0,sold,285000.0,2.0,2.0,0.13,1409338.0,Leesburg,Florida,34748.0,1413.0,2022-04-08
53016.0,sold,200000.0,2.0,1.0,51.37,415031.0,Tionesta,Pennsylvania,16353.0,,2021-12-17
3308.0,for_sale,899000.0,4.0,4.0,0.91,423798.0,Lake Lure,North Carolina,28746.0,4182.0,2021-01-28
106703.0,sold,176000.0,2.0,1.0,0.14,1564175.0,Burlington Township,New Jersey,8016.0,816.0,2022-01-31
33714.0,sold,425000.0,4.0,3.0,0.29,1741346.0,Easton,Maryland,21601.0,2559.0,2022-03-18
10475.0,for_sale,292500.0,3.0,2.0,0.29,244009.0,Landisville,Pennsylvania,17538.0,1856.0,1986-05-22
78292.0,for_sale,679500.0,6.0,6.0,0.14,677194.0,Taylor,Texas,76574.0,3324.0,
68276.0,for_sale,445304.0,3.0,2.0,0.19,1317359.0,Spokane Valley,Washington,99216.0,1574.0,
109914.0,sold,475000.0,3.0,2.0,0.16,708167.0,Phoenix,Arizona,85022.0,1442.0,2022-04-22
30456.0,sold,360000.0,3.0,2.0,0.13,81879.0,Riverview,Florida,33578.0,1879.0,2022-02-03
53518.0,for_sale,200000.0,2.0,2.0,1.59,1709398.0,Largo,Florida,33777.0,895.0,2018-09-18
2849.0,sold,399900.0,3.0,2.0,0.26,595645.0,Ormond Beach,Florida,32174.0,1621.0,2022-02-25
35346.0,sold,1100000.0,4.0,2.0,0.14,362135.0,Huntington Beach,California,92647.0,1816.0,2022-01-25
64805.0,for_sale,180000.0,,,40.0,1839029.0,Buncombe,Illinois,62912.0,,
55180.0,for_sale,420000.0,1.0,1.0,,501653.0,Santa Clara,California,95051.0,678.0,1989-08-09
87946.0,sold,380000.0,2.0,3.0,,1707230.0,Manassas,Virginia,20109.0,1690.0,2022-03-31
108004.0,for_sale,319900.0,3.0,3.0,0.5,1245978.0,Enfield,Connecticut,6082.0,1904.0,2021-06-28
16829.0,sold,1525000.0,1.0,2.0,,555813.0,Bellevue,Washington,98004.0,1025.0,2022-04-22
15937.0,sold,399900.0,2.0,1.0,0.2,1427653.0,Lynn,Massachusetts,1905.0,720.0,2022-03-25
24412.0,for_sale,184500.0,4.0,2.0,0.17,966056.0,Culloden,West Virginia,25510.0,1723.0,
15936.0,for_sale,124000.0,2.0,2.0,0.25,750205.0,Osceola Township,Michigan,49922.0,1141.0,
51376.0,for_sale,417328.0,3.0,3.0,,647293.0,Katy,Texas,77449.0,2372.0,
16734.0,for_sale,39900.0,,,0.86,637415.0,Suttons Bay,Michigan,49682.0,,2022-04-15
35701.0,for_sale,330000.0,,,66.0,,Malad City,Idaho,83252.0,,
81849.0,sold,2350000.0,6.0,6.0,0.81,664655.0,Walnut,California,91789.0,5900.0,2022-03-22
4190.0,for_sale,80000.0,,,0.24,1218302.0,Greensboro,North Carolina,27407.0,,
66043.0,sold,550000.0,3.0,3.0,0.1,436743.0,Asheville,North Carolina,28806.0,1549.0,2021-11-22
93732.0,for_sale,180000.0,3.0,2.0,0.09,1374631.0,Hoquiam,Washington,98550.0,1530.0,
10141.0,sold,245000.0,2.0,2.0,0.22,410520.0,Ludlow,Massachusetts,1056.0,1846.0,2021-11-19
30903.0,for_sale,105000.0,,,1.49,1949603.0,Albuquerque,New Mexico,87120.0,,2006-07-25
84512.0,for_sale,354000.0,3.0,3.0,,1018775.0,Glastonbury,Connecticut,6033.0,1723.0,2012-07-03
2798.0,sold,20000.0,,,0.21,1954829.0,Cartwright,Oklahoma,74731.0,,2022-04-08
29146.0,for_sale,299990.0,4.0,2.0,0.14,1719003.0,San Marcos,Texas,78666.0,1717.0,
10543.0,for_sale,565800.0,4.0,3.0,0.31,165448.0,Milwaukie,Oregon,97222.0,2338.0,2015-05-08
83175.0,sold,230000.0,2.0,1.0,0.14,1761410.0,Ephrata,Washington,98823.0,1384.0,2022-03-25
57611.0,for_sale,465269.0,5.0,5.0,0.34,683945.0,Simpsonville,South Carolina,29680.0,,2022-04-08
82405.0,sold,479000.0,4.0,4.0,0.4,1141093.0,Lexington,Virginia,24450.0,3083.0,2021-10-29
97445.0,for_sale,239000.0,6.0,2.0,0.29,393467.0,Gatesville,Texas,76528.0,2569.0,
57803.0,sold,299900.0,3.0,3.0,0.67,1395290.0,Drums,Pennsylvania,18222.0,2480.0,2022-03-15
77342.0,sold,309900.0,3.0,2.0,0.25,1095609.0,Oklahoma City,Oklahoma,73120.0,2365.0,2022-03-08
16975.0,sold,145000.0,3.0,2.0,1.82,1558024.0,Milton,Florida,32570.0,1503.0,2021-12-28
30229.0,sold,349000.0,3.0,3.0,,1511075.0,Pittston Township,Pennsylvania,18640.0,1780.0,2021-12-07
58031.0,sold,50000.0,,,8.67,78765.0,Lawrenceburg,Kentucky,40342.0,,2021-10-29
29212.0,for_sale,469990.0,3.0,3.0,,1636189.0,Yulee,Florida,32097.0,2449.0,2020-09-23
52934.0,for_sale,334900.0,4.0,3.0,0.17,1385447.0,Katy,Texas,77493.0,2319.0,2015-12-03
94175.0,for_sale,739000.0,1.0,1.0,2.88,516805.0,Honolulu,Hawaii,96815.0,500.0,2012-10-25
103792.0,sold,695000.0,4.0,3.0,0.25,1155299.0,Dallas,Texas,75244.0,2709.0,2022-01-27
78217.0,sold,380000.0,3.0,1.0,2.56,1566463.0,Paxton,Massachusetts,1612.0,1350.0,2022-02-01
50374.0,sold,739000.0,3.0,1.0,0.26,473858.0,Burien,Washington,98166.0,1580.0,2022-04-26
52482.0,for_sale,770000.0,6.0,4.0,0.23,791686.0,South Lake Tahoe,California,96150.0,2436.0,
11035.0,for_sale,63000.0,,,0.37,468848.0,Bullhead City,Arizona,86442.0,,2005-06-22
37299.0,for_sale,82000.0,,,5.43,1936356.0,Bulter,Tennessee,37640.0,,
20572.0,sold,499000.0,,,0.43,1696748.0,Scranton,Pennsylvania,18504.0,7500.0,2022-01-14
109939.0,sold,799950.0,3.0,3.0,0.2,1232744.0,Tacoma,Washington,98422.0,3037.0,2021-11-17
48706.0,for_sale,1950000.0,4.0,4.0,3.08,774621.0,Spanaway,Washington,98387.0,5338.0,2016-05-27
44676.0,for_sale,325000.0,2.0,2.0,0.03,825169.0,Palm Springs,California,92264.0,1178.0,1997-12-29
29175.0,for_sale,753560.0,5.0,5.0,4.65,374408.0,Canton,Georgia,30114.0,3581.0,
15711.0,for_sale,6000.0,,,0.27,436989.0,Hot Springs Village,Arkansas,71909.0,,
14808.0,for_sale,330000.0,3.0,2.0,0.07,1582578.0,Chicago,Illinois,60612.0,2460.0,1983-04-04
59830.0,sold,647000.0,3.0,2.0,0.15,1490291.0,Rocklin,California,95765.0,1855.0,2022-03-02
6239.0,for_sale,259900.0,3.0,3.0,0.57,684239.0,Dennard,Arkansas,72629.0,2370.0,
78981.0,for_sale,42000.0,,,0.76,781907.0,Muscatine,Iowa,52761.0,,2021-06-30
66805.0,for_sale,179000.0,2.0,3.0,,1787804.0,Indianapolis,Indiana,46268.0,2124.0,
24186.0,sold,550000.0,3.0,3.0,0.12,843153.0,Corona,California,92883.0,1439.0,2022-02-03
22611.0,for_sale,1399999.0,4.0,3.0,0.17,719780.0,Ocean City,Maryland,21842.0,3016.0,1999-04-29
98057.0,for_sale,323000.0,,1.0,,1025716.0,Miami Beach,Florida,33139.0,200.0,2012-03-28
20981.0,for_sale,135000.0,3.0,1.0,0.2,554302.0,Muskegon,Michigan,49442.0,906.0,2019-06-18
28227.0,for_sale,15000.0,,,1.47,1860462.0,Edmonton,Kentucky,42129.0,,
33714.0,sold,559706.0,4.0,4.0,0.51,404892.0,Smyrna,Delaware,19977.0,4400.0,2021-10-28
886.0,for_sale,1500000.0,,,5.03,1551222.0,Peyton,Colorado,80831.0,,2006-12-19
11271.0,sold,369900.0,4.0,3.0,3.73,430034.0,Zebulon,Georgia,30295.0,2242.0,2022-02-28
30807.0,for_sale,499900.0,3.0,2.0,0.14,1221156.0,Orlando,Florida,32803.0,2003.0,2020-02-05
68258.0,for_sale,323116.0,3.0,2.0,0.13,1788371.0,Converse,Texas,78109.0,1604.0,
99183.0,sold,179000.0,2.0,1.0,0.25,1539098.0,Marion,North Carolina,28752.0,1468.0,2021-12-06
8733.0,sold,549000.0,4.0,3.0,0.27,677854.0,Wheaton,Illinois,60187.0,2676.0,2022-04-04
102765.0,for_sale,76900.0,,,0.25,746785.0,Bullhead City,Arizona,86442.0,,2009-03-09
84220.0,for_sale,359499.0,4.0,2.0,0.13,1381821.0,New Braunfels,Texas,78130.0,1667.0,
59960.0,sold,119900.0,3.0,2.0,0.27,1324225.0,Haskell,Oklahoma,74436.0,1592.0,2022-04-20
67309.0,sold,440000.0,3.0,3.0,0.06,1492176.0,Miami,Florida,33193.0,1739.0,2022-02-07
42150.0,for_sale,199900.0,4.0,2.0,5.08,404714.0,Buchanan,Georgia,30113.0,2258.0,2009-08-13
72160.0,sold,240000.0,2.0,1.0,0.02,285043.0,Modesto,California,95355.0,904.0,2021-12-08
38074.0,sold,649000.0,3.0,2.0,4.6,1397780.0,Ione,California,95640.0,1380.0,2022-04-21
76713.0,for_sale,550000.0,4.0,2.0,1.52,1658379.0,Stillwater,Minnesota,55082.0,2898.0,
63432.0,for_sale,27500.0,,,0.46,1616238.0,Port Charlotte,Florida,33981.0,,2001-01-29
16836.0,sold,479000.0,4.0,2.0,0.32,1010687.0,Beacon,New York,12508.0,2054.0,2022-03-22
12943.0,sold,525000.0,4.0,2.0,0.28,1025458.0,Lynn,Massachusetts,1904.0,1500.0,2021-11-03
3367.0,for_sale,48000.0,2.0,1.0,0.1,66611.0,Dayton,Ohio,45403.0,980.0,1993-05-27
30788.0,for_sale,149000.0,,,11.13,554.0,Mount Jackson,Virginia,22842.0,,
99932.0,for_sale,119900.0,3.0,2.0,0.05,1075898.0,Bedford,Indiana,47421.0,1680.0,
1343.0,sold,440000.0,4.0,2.0,0.13,1681377.0,Peoria,Arizona,85345.0,1897.0,2022-03-31
47338.0,for_sale,550000.0,3.0,,2.09,1361182.0,Encino,California,91316.0,1741.0,2008-03-07
15721.0,for_sale,140000.0,2.0,2.0,,1694848.0,North Lauderdale,Florida,33068.0,1120.0,2015-10-26
27215.0,for_sale,70000.0,,,1.6,72476.0,Gulfport,Mississippi,39503.0,,
41402.0,for_sale,329000.0,2.0,2.0,0.17,1014918.0,Orlando,Florida,32812.0,1116.0,2000-01-28
63715.0,for_sale,388240.0,4.0,3.0,0.11,153794.0,Vail,Arizona,85641.0,2690.0,
66103.0,for_sale,30000.0,,,0.33,1853473.0,Poplar Bluff,Missouri,63901.0,,
16274.0,for_sale,373950.0,,,74.79,1880502.0,Rockville,Indiana,47872.0,,
50341.0,for_sale,530000.0,3.0,3.0,0.07,623413.0,Bend,Oregon,97702.0,1450.0,2017-05-22
52607.0,sold,579800.0,4.0,3.0,0.22,1259187.0,Warwick,Rhode Island,2889.0,2097.0,2022-04-15
24549.0,for_sale,485000.0,4.0,2.0,0.19,220898.0,Bountiful,Utah,84010.0,2226.0,
58949.0,sold,209999.0,3.0,3.0,,1037005.0,Wilmington,Delaware,19808.0,1600.0,2021-12-10
25542.0,sold,304900.0,4.0,4.0,0.08,1216525.0,Boonsboro,Maryland,21713.0,2444.0,2021-11-11
53177.0,for_sale,60000.0,3.0,1.0,0.16,663257.0,Shattuck,Oklahoma,73858.0,1288.0,
79100.0,for_sale,374900.0,4.0,3.0,0.58,1567116.0,Hanover,Pennsylvania,17331.0,3167.0,2007-10-30
71366.0,sold,485000.0,5.0,4.0,0.24,1575529.0,Garland,Texas,75044.0,3171.0,2022-01-06
85809.0,for_sale,485467.0,3.0,2.0,0.16,1181545.0,Olivehurst,California,95961.0,2080.0,2021-03-03
85122.0,for_sale,8000.0,,,0.25,1957972.0,Dunnellon,Florida,34431.0,,
54882.0,for_sale,278000.0,4.0,2.0,0.16,232218.0,Houston,Texas,77065.0,,2010-11-12
25970.0,sold,368525.0,4.0,3.0,0.21,456208.0,Denver,North Carolina,28037.0,2234.0,2022-01-24
